_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptItemList,rewardsReceiptStatus,totalSpent,userId
5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31.000,2021-01-03 10:25:31.000,2021-01-03 10:25:31.000,2021-01-03 10:25:36.000,2021-01-03 10:25:31,500.0,2021-01-02 19:00:00,5,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '26.00', 'itemPrice': '26.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 5, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '26.00', 'userFlaggedQuantity': 5}",FINISHED,26.00,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:43.000,2021-01-03 10:24:43.000,2021-01-03 10:24:43.000,2021-01-03 10:24:48.000,2021-01-03 10:24:43,150.0,2021-01-02 10:24:43,2,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,11.00,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,2021-01-03 10:25:37.000,2021-01-03 10:25:37.000,,2021-01-03 10:25:42.000,,5,2021-01-02 19:00:00,1,"{'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '26.00', 'userFlaggedQuantity': 3}",REJECTED,10.00,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,2021-01-03 10:25:34.000,2021-01-03 10:25:34.000,2021-01-03 10:25:34.000,2021-01-03 10:25:39.000,2021-01-03 10:25:34,5.0,2021-01-02 19:00:00,4,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '28.00', 'itemPrice': '28.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 4, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '28.00', 'userFlaggedQuantity': 4}",FINISHED,28.00,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,2021-01-03 10:25:06.000,2021-01-03 10:25:06.000,2021-01-03 10:25:11.000,2021-01-03 10:25:11.000,2021-01-03 10:25:06,5.0,2021-01-02 10:25:06,2,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.00,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:24.000,2021-01-03 10:25:24.000,2021-01-03 10:25:25.000,2021-01-03 10:25:30.000,2021-01-03 10:25:25,750.0,2021-01-02 10:25:24,1,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '3.25', 'itemPrice': '3.25', 'needsFetchReview': False, 'originalMetaBriteBarcode': '028400642255', 'originalMetaBriteDescription': 'DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ', 'partnerItemId': '1', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5fbe4b03c9a25efd0ba', 'preventTargetGapPoints': True, 'quantityPurchased': 1, 'rewardsGroup': 'DORITOS SPICY SWEET CHILI SINGLE SERVE', 'rewardsProductPartnerId': '5332f5fbe4b03c9a25efd0ba', 'userFlaggedBarcode': '4011'}",FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,2021-01-03 10:25:01.000,2021-01-03 10:25:01.000,2021-01-03 10:25:02.000,2021-01-03 10:25:02.000,2021-01-03 10:25:02,5.0,2021-01-03 10:25:01,1,"{'brandCode': 'MISSION', 'competitorRewardsGroup': 'TACO BELL TACO SHELLS', 'description': 'MSSN TORTLLA', 'discountedItemPrice': '2.23', 'finalPrice': '2.23', 'itemPrice': '2.23', 'originalReceiptItemText': 'MSSN TORTLLA', 'partnerItemId': '1009', 'quantityPurchased': 1}",FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:20.000,2021-01-03 10:24:20.000,2021-01-03 10:24:21.000,2021-01-03 10:24:21.000,2021-01-03 10:24:21,500.0,2020-12-26 19:00:00,1,"{'barcode': '046000832517', 'brandCode': 'BRAND', 'description': 'Old El Paso Mild Chopped Green Chiles, 4.5 Oz', 'finalPrice': '10.00', 'itemPrice': '10.00', 'partnerItemId': '0', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5f3e4b03c9a25efd0ae', 'quantityPurchased': 1, 'rewardsGroup': 'OLD EL PASO BEANS & PEPPERS', 'rewardsProductPartnerId': '5332f5f3e4b03c9a25efd0ae'}",FINISHED,10.00,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,5,All-receipts receipt bonus,2021-01-03 10:25:33.000,2021-01-03 10:25:33.000,2021-01-03 10:25:34.000,2021-01-03 10:25:38.000,2021-01-03 10:25:34,5.0,2021-01-02 19:00:00,5,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '20.00', 'itemPrice': '20.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 5, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '20.00', 'userFlaggedQuantity': 5}",FINISHED,20.00,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31.000,2021-01-03 10:25:31.000,2021-01-03 10:25:31.000,2021-01-03 10:25:36.000,2021-01-03 10:25:31,250.0,2021-01-02 19:00:00,3,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '20.00', 'itemPrice': '20.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 3, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '20.00', 'userFlaggedQuantity': 3}",FINISHED,20.00,5ff1e1eacfcf6c399c274ae6
5ff1e1c50a720f052300056c,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:53.000,2021-01-03 10:24:53.000,2021-01-03 10:24:53.000,2021-01-03 10:24:53.000,2021-01-03 10:24:53,100.0,2021-01-02 10:24:53,1,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.00,5ff1e194b6a9d73a3a9f1052
5ff1e1a10a720f0523000568,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:17.000,2021-01-03 10:24:17.000,2021-01-03 10:39:20.000,2021-01-03 10:39:20.000,2021-01-03 10:24:19,750.0,2021-01-01 19:00:00,5,"{'barcode': '013562300631', 'description': ""Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz"", 'discountedItemPrice': '50.00', 'finalPrice': '50.00', 'itemNumber': '013562300631', 'itemPrice': '50.00', 'needsFetchReview': True, 'needsFetchReviewReason': 'POINTS_GREATER_THAN_THRESHOLD', 'originalMetaBriteQuantityPurchased': 1, 'partnerItemId': '1', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5f3e4b03c9a25efd0ae', 'quantityPurchased': 5, 'rewardsGroup': ""ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE"", 'rewardsProductPartnerId': '5332f5f3e4b03c9a25efd0ae'}",FINISHED,50.00,5ff1e194b6a9d73a3a9f1052
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:38.000,2021-01-03 10:24:38.000,,2021-01-03 10:24:38.000,,8850.0,2021-02-03 10:24:38,10,"{'barcode': '034100573065', 'description': 'MILLER LITE 24 PACK 12OZ CAN', 'finalPrice': '29', 'itemPrice': '29', 'partnerItemId': '1', 'pointsEarned': '870.0', 'pointsPayerId': '5332f709e4b03c9a25efd0f1', 'quantityPurchased': 1, 'rewardsGroup': 'MILLER LITE 24 PACK', 'rewardsProductPartnerId': '5332f709e4b03c9a25efd0f1', 'targetPrice': '77'}",FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 16:17:59.000,2020-10-30 16:17:59.000,,2021-01-03 10:24:54.000,2020-10-30 16:18:00,750.0,2020-10-29 16:17:59,11,"{'barcode': '075925306254', 'competitiveProduct': True, 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1, 'rewardsGroup': 'KRAFT NATURAL CHEESE - SHREDDED', 'rewardsProductPartnerId': '559c2234e4b06aca36af13c6'}",REJECTED,1.00,5f9c74f7c88c1415cbddb839
5ff1e1b20a7214ada100055a,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:34.000,2021-01-03 10:24:34.000,2021-01-03 10:24:35.000,2021-01-03 10:24:35.000,2021-01-03 10:24:35,300.0,2021-02-03 10:24:35,1,"{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1}",FINISHED,1.00,5ff1e194b6a9d73a3a9f1052
